Country,territorial1Key,territorial2Key,territorial3Key
USA,State,County,City
UK,Country,County,City
FRANCE,Région,Département,Ville
Germany, , , 
Mexico, , , 
Poland, , , 
SPAIN,CCAA,Provincia,Municipio
Italy, , , 
